,Source,Target,Type,Weight,book,group
446,Little,Dandelion,Undirected,1,3,1
447,Dandelion,Rience,Undirected,19,3,1
448,Rience,Dandelion,Undirected,29,3,1
449,Ciri,Dandelion,Undirected,4,3,1
450,Rience,Ciri,Undirected,1,3,1
451,Dandelion,Ciri,Undirected,2,3,1
452,Ciri,Rience,Undirected,1,3,1
453,Rience,Geralt,Undirected,20,3,1
454,Dandelion,Sir,Undirected,1,3,1
455,Sir,Rience,Undirected,1,3,2
456,Sir,Dandelion,Undirected,1,3,1
457,Rience,Yennefer,Undirected,5,3,1
458,King,Dandelion,Undirected,4,3,1
459,Yennefer,Calanthe,Undirected,2,3,1
460,Geralt,Calanthe,Undirected,1,3,1
461,Calanthe,Geralt,Undirected,3,3,1
462,Calanthe,Rience,Undirected,1,3,2
463,Geralt,Rience,Undirected,10,3,1
464,Yennefer,Rience,Undirected,1,3,1
465,Ciri,Yennefer,Undirected,68,3,1
466,Ciri,Roach,Undirected,2,3,1
467,Eskel,Ciri,Undirected,5,3,1
468,Ciri,Eskel,Undirected,5,3,1
469,Eskel,Roach,Undirected,2,3,1
470,Roach,Ciri,Undirected,1,3,1
471,Roach,Eskel,Undirected,1,3,1
472,Ciri,Lambert,Undirected,14,3,1
473,Lambert,Ciri,Undirected,14,3,1
474,Ciri,Vesemir,Undirected,11,3,1
475,Vesemir,Geralt,Undirected,9,3,1
476,Triss,Ciri,Undirected,64,3,1
477,Ciri,Triss,Undirected,68,3,1
478,Geralt,Triss,Undirected,44,3,1
479,Triss,Geralt,Undirected,34,3,1
480,Triss,Lambert,Undirected,6,3,1
481,Lambert,Vesemir,Undirected,4,3,1
482,Vesemir,Ciri,Undirected,15,3,1
483,Lambert,Triss,Undirected,8,3,1
484,Triss,Vesemir,Undirected,14,3,1
485,Vesemir,Triss,Undirected,9,3,1
486,Vesemir,Lambert,Undirected,4,3,1
487,Lambert,Geralt,Undirected,6,3,1
488,Triss,Yennefer,Undirected,8,3,1
489,Yennefer,Triss,Undirected,3,3,1
490,Ciri,Two,Undirected,3,3,1
491,Ciri,Calanthe,Undirected,5,3,1
492,Vesemir,Eskel,Undirected,1,3,1
493,Eskel,Triss,Undirected,4,3,1
494,Triss,Eskel,Undirected,4,3,1
495,Eskel,Vesemir,Undirected,2,3,1
496,Eskel,Geralt,Undirected,2,3,1
497,Geralt,Vesemir,Undirected,5,3,1
498,Nenneke,Ciri,Undirected,16,3,1
499,Ciri,Vanielle,Undirected,1,3,1
500,Triss,Vanielle,Undirected,1,3,2
501,Vanielle,Ciri,Undirected,1,3,1
502,Yennefer,Ciri,Undirected,56,3,1
503,Geralt,Ori,Undirected,1,3,1
504,Ciri,Ori,Undirected,1,3,1
505,Ori,Ciri,Undirected,1,3,1
506,Beau,Ciri,Undirected,1,3,1
507,Eskel,Lambert,Undirected,1,3,1
508,Geralt,Eskel,Undirected,1,3,1
509,Calanthe,Ciri,Undirected,2,3,1
510,Yennefer,Vanielle,Undirected,1,3,1
511,Vanielle,Yennefer,Undirected,1,3,1
512,Vanielle,Geralt,Undirected,1,3,1
513,Two,Ciri,Undirected,1,3,1
514,Two,Triss,Undirected,1,3,2
515,Triss,Forest,Undirected,1,3,2
516,Forest,Geralt,Undirected,1,3,1
517,Geralt,Yarpen,Undirected,8,3,1
518,Yarpen,Geralt,Undirected,14,3,1
519,Triss,Yarpen,Undirected,7,3,2
520,Yarpen,Ciri,Undirected,12,3,1
521,Ciri,Yarpen,Undirected,24,3,1
522,Triss,King,Undirected,1,3,2
523,Ciri,King,Undirected,2,3,1
524,King,Geralt,Undirected,3,3,1
525,Xavier,Yarpen,Undirected,1,3,2
526,Xavier,Regan,Undirected,1,3,2
527,Yarpen,Regan,Undirected,1,3,2
528,Yannick,Yarpen,Undirected,1,3,2
529,Paulie,Xavier,Undirected,1,3,2
530,Xavier,Paulie,Undirected,1,3,2
531,Paulie,Yannick,Undirected,1,3,2
532,Yannick,Ciri,Undirected,1,3,1
533,Yennefer,Yarpen,Undirected,1,3,1
534,Regan,Yarpen,Undirected,1,3,2
535,Yarpen,Triss,Undirected,3,3,2
536,King,Yarpen,Undirected,2,3,2
537,Yannick,Paulie,Undirected,1,3,2
538,Paulie,Yarpen,Undirected,3,3,2
539,Paulie,Triss,Undirected,1,3,2
540,King,Henselt,Undirected,2,3,2
541,King,Ciri,Undirected,1,3,1
542,Henselt,Ciri,Undirected,1,3,1
543,Ciri,Aelirenn,Undirected,5,3,1
544,Aelirenn,Ciri,Undirected,2,3,1
545,Aelirenn,Yarpen,Undirected,1,3,2
546,Yarpen,Aelirenn,Undirected,1,3,2
547,Ciri,Yannick,Undirected,2,3,1
548,Yarpen,Yannick,Undirected,1,3,2
549,Ciri,Regan,Undirected,2,3,1
550,Regan,Ciri,Undirected,2,3,1
551,Ciri,Paulie,Undirected,5,3,1
552,Paulie,Ciri,Undirected,3,3,1
553,Ciri,Sword,Undirected,1,3,1
554,Paulie,Sword,Undirected,1,3,2
555,Sword,Paulie,Undirected,2,3,2
556,Yannick,Regan,Undirected,1,3,2
557,Everett,Geralt,Undirected,11,3,1
558,Everett,Ciri,Undirected,1,3,1
559,Ciri,Iola,Undirected,6,3,1
560,Nenneke,Geralt,Undirected,4,3,1
561,Nenneke,Beau,Undirected,1,3,2
562,Geralt,Beau,Undirected,1,3,1
563,Geralt,Nenneke,Undirected,4,3,1
564,Beau,Nenneke,Undirected,1,3,2
565,Beau,Geralt,Undirected,1,3,1
566,Beau,Iola,Undirected,1,3,2
567,Nenneke,Iola,Undirected,2,3,2
568,Geralt,Iola,Undirected,2,3,1
569,Ciri,Nenneke,Undirected,12,3,1
570,Geralt,Everett,Undirected,6,3,1
571,Everett,Foltest,Undirected,1,3,1
572,Geralt,Foltest,Undirected,1,3,1
573,Geralt,King,Undirected,3,3,1
574,Everett,Dandelion,Undirected,1,3,1
575,Dandelion,Two,Undirected,3,3,1
576,Dandelion,Shani,Undirected,9,3,1
577,Shani,Dandelion,Undirected,8,3,1
578,Shani,Two,Undirected,1,3,1
579,Dandelion,King,Undirected,3,3,1
580,Dandelion,Ori,Undirected,2,3,1
581,Ori,Philippa,Undirected,2,3,1
582,Rience,Philippa,Undirected,6,3,1
583,Philippa,Dandelion,Undirected,8,3,1
584,Dandelion,Philippa,Undirected,15,3,1
585,Philippa,Ori,Undirected,1,3,1
586,Philippa,Rience,Undirected,7,3,1
587,Ori,Rience,Undirected,3,3,2
588,Philippa,Geralt,Undirected,9,3,1
589,Geralt,Philippa,Undirected,10,3,1
590,Rience,King,Undirected,1,3,2
591,King,Philippa,Undirected,1,3,1
592,Philippa,Yennefer,Undirected,1,3,1
593,Yennefer,Philippa,Undirected,6,3,1
594,Ori,Dandelion,Undirected,2,3,1
595,Geralt,Shani,Undirected,7,3,1
596,Shani,Geralt,Undirected,4,3,1
597,Yennefer,Shani,Undirected,1,3,1
598,Shani,Philippa,Undirected,3,3,1
